Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
773,0,0,12.64508
774,0,0.5251892,5.407528
775,0,0.5519036,5.421785
776,0,0,15.9896
777,0,0.5485922,5.741734
778,0,0,22.00676
779,0,0.5453207,5.806995
780,0,0.5181187,4.883996
781,0,0.4676457,4.685464
782,0,0.5406694,5.31561
783,0,0,12.02488
784,0,0.5650744,5.442048
785,0,0.5019891,5.042516
786,0,0.6035894,5.101257
787,0,0.5335408,5.44706
788,0,0.6174744,5.972197
789,0,0,7.628917
790,0,0.5424154,5.568681
791,0,0.5164589,4.972422
792,0,0.5235081,5.682847
793,0,0.4790696,4.889204
794,0,0.5579629,5.741515
795,0,0.5430247,5.958419
796,0,0.5660195,5.152313
797,0,0.5420442,5.443965
798,0,0.5486342,5.579988
799,0,0.5142052,5.411964
800,0,0.5337483,5.200428
801,0,0.5257977,5.455431
802,0,0.5077937,5.100348
803,0,0.53181,5.572873
804,0,0.5319065,5.611295
805,0,0.5551693,5.781594
806,0,0.5406961,5.640072
807,0,0.5691746,6.517181
808,0,0.4683045,4.245878
809,0,0,9.50904
810,0,0.5235408,5.349703
811,0,0,11.87604
812,0,0.5151373,5.058825
813,0,0.5843366,5.802612
814,0,0.5384097,5.426277
815,0,0.5131221,5.306484
816,0,0.526688,5.410872
817,0,0.4964326,4.710968
818,0,0,15.33411
819,0,0.505198,4.894621
820,0,0.520568,5.10939
821,0,0.6360086,6.174168
822,0,0.4970703,4.919542
823,0,0.5821176,6.023726
824,0,0.527955,5.000103
825,0,0,12.2398
826,0,0.525793,5.081161
827,0,0.5279499,5.382357
828,0,0.5528594,6.328211
829,0,0.5389686,5.468071
830,0,0,14.03528
831,0,0.5481616,5.644238
832,0,0.527055,5.573117
833,0,0.5380412,5.275139
834,0,0.532836,5.290287
835,0,0.5837365,5.825431
836,0,0.5316861,5.471022
837,0,0.5475625,5.908937
838,0,0.5636421,6.333157
839,0,0.5216116,5.103539
840,0,0.5433344,5.200408
841,0,0.5410397,5.62183
842,0,0.6128926,5.070238
843,0,0.5030622,4.731267
844,0,0.3340248,3.897285
845,0,0.5064749,4.837726
846,0,0.4967217,5.340382
847,0,0.5125836,5.304901
848,0,0,16.30796
849,0,0.5088676,5.008585
850,0,0.5276476,5.457582
851,0,0.5431077,5.285068
852,0,0.5290872,5.277192
853,0,0.5104836,5.15299
854,0,0.5015116,4.694676
855,0,0.5093474,5.22914
856,0,0.4768866,5.05872
857,0,0.5118912,5.089927
858,0,0.5401866,5.363588
859,0,0.5197569,5.42929
860,0,0.5029897,5.094004
861,0,0.5089878,5.207915
862,0,0.5499809,5.640629
863,0,0.5257681,5.257683
864,0,0.582188,6.531535
865,0,0.6635998,6.408293
866,0,0.6242537,6.786086
867,0,0.5170779,5.524336
868,0,0.510459,5.501786
869,0,0.5256398,5.132144
870,0,0.5634228,5.720324
871,0,0.5257066,5.486256
872,0,0.5490207,5.722455
873,0,0.5320666,5.66399
874,0,0.4714794,4.445664
875,0,0.6037765,5.305197
876,0,0.5642195,5.396223
877,0,0.4888318,4.95037
878,0,0.5799924,5.905388
879,0,0.5353407,5.23866
880,0,0.5695131,5.735561
881,0,0.5144695,5.032981
882,0,0.5057787,4.857352
883,0,0.5350384,5.105609
884,0,0.5403646,5.790799
885,0,0,22.15551
886,0,0.5393596,4.980492
887,0,0.5449757,5.458751
888,0,0,16.47217
889,0,0.5545252,5.532289
890,0,0.5078064,4.89191
891,0,0.5814713,5.641346
892,0,0,7.208636
893,0,0.495032,4.824013
894,0,0.463292,4.762484
895,0,0.4756376,5.009635
896,0,0.504752,4.496721
897,0,0.4821875,5.196633
898,0,0.5030287,5.22232
899,0,0.4922363,4.812314
900,0,0.5213397,5.072921
901,0,0.5118794,5.305701
902,0,0,12.95166
903,0,0.5095959,4.962627
904,0,0.5192813,5.097341
905,0,0.5072675,5.137167
906,0,0.5628234,5.232437
907,0,0.6035393,5.743339
908,0,0.5391709,5.593881
909,0,0.5771919,6.093984
910,0,0,23.7861
911,0,0.549852,5.357837
912,0,0.5483162,5.665525
913,0,0.5231879,5.449155
914,0,0.6391069,5.715621
915,0,0.5024626,5.072968
916,0,0.4946296,4.804428
917,0,0.5726498,5.570643
918,0,0.507845,4.958306
919,0,0.5192112,5.118874
920,0,0.5249226,5.577588
921,0,0.542855,5.177656
922,0,0.5338048,4.928249
923,0,0.5259992,5.103889
924,0,0.533002,5.146103
925,0,0.5267758,5.336973
926,0,0.514913,4.75879
927,0,0.5311924,4.585549
